countryindyear,count
"luxembourg, mechanical or industrial engineering, 2014",1
"afghanistan, international trade and development, 2014",1
"sri lanka, philanthropy, 2013",1
"israel, education management, 1953",1
"indonesia, banking, 1998",1
"spain, restaurants, 1975",1
"egypt, animation, 2018",1
"ukraine, publishing, 2008",1
"ukraine, legal services, 1995",4
"switzerland, events services, 1994",1
"spain, law practice, 1952",2
"netherlands, entertainment, 1931",1
"france, environmental services, 1913",1
"belgium, alternative medicine, 2010",1
"finland, security and investigations, 1989",1
"luxembourg, utilities, 1856",1
"spain, medical practice, 1960",1
"serbia, printing, 2007",1
"denmark, farming, 1939",1
"portugal, non-profit organization management, 1990",2
"canada, furniture, 1978",6
"mexico, environmental services, 2005",4
"ireland, plastics, 2011",1
"brazil, capital markets, 2011",7
"mongolia, business supplies and equipment, 2008",1
"syria, information technology and services, 1994",1
"canada, sporting goods, 1976",4
"thailand, sporting goods, 2009",1
"pakistan, education management, 1948",1
"india, mental health care, 1981",1
"luxembourg, utilities, 1998",1
"netherlands, museums and institutions, 1849",1
"bahrain, architecture & planning, 1996",1
"el salvador, religious institutions, 1970",1
"bolivia, education management, 2011",1
"israel, non-profit organization management, 1978",1
"germany, security and investigations, 1983",1
"germany, food & beverages, 1994",4
"hong kong, outsourcing/offshoring, 2012",1
"canada, marketing and advertising, 1930",1
"mexico, graphic design, 1992",2
"australia, music, 1965",1
"united kingdom, logistics and supply chain, 1870",2
"ukraine, security and investigations, 1997",1
"mexico, staffing and recruiting, 1986",1
"côte d’ivoire, farming, 2017",1
"south africa, food production, 2012",3
"uruguay, pharmaceuticals, 1935",1
"slovenia, mechanical or industrial engineering, 1985",2
"china, online media, 2001",1
"portugal, gambling & casinos, 1968",1
"argentina, mechanical or industrial engineering, 2002",5
"bulgaria, mechanical or industrial engineering, 1963",1
"switzerland, paper & forest products, 1941",1
"turkey, non-profit organization management, 1969",1
"argentina, market research, 2014",2
"iran, mining & metals, 1998",1
"czechia, education management, 2005",5
"finland, dairy, 1905",1
"france, real estate, 1996",13
"argentina, real estate, 1906",1
"united arab emirates, import and export, 1979",2
"south africa, import and export, 2002",1
"austria, financial services, 2000",2
"india, public relations and communications, 1994",1
"estonia, construction, 2001",1
"sweden, civic & social organization, 1992",1
"zimbabwe, electrical/electronic manufacturing, 1991",1
"russia, food production, 1997",3
"costa rica, construction, 1986",1
"australia, real estate, 1856",1
"spain, commercial real estate, 2015",14
"united arab emirates, music, 2014",1
"hungary, sports, 2013",4
"british virgin islands, individual & family services, 2013",1
"australia, newspapers, 2004",1
"france, leisure, travel & tourism, 1889",1
"india, wireless, 2009",5
"romania, international trade and development, 2009",1
"el salvador, leisure, travel & tourism, 1990",1
"portugal, performing arts, 1948",1
"norway, law practice, 1964",1
"denmark, political organization, 2005",1
"united states, professional training & coaching, 1927",1
"singapore, government administration, 2009",1
"taiwan, health, wellness and fitness, 1998",2
"bangladesh, marketing and advertising, 2006",3
"philippines, oil & energy, 2009",1
"argentina, farming, 1904",1
"luxembourg, venture capital & private equity, 2010",1
"germany, alternative medicine, 1997",1
"japan, pharmaceuticals, 2010",1
"angola, business supplies and equipment, 2016",2
"hungary, non-profit organization management, 1983",1
"united states, design, 1922",2
"brazil, hospitality, 1951",1
"guadeloupe, computer networking, 1997",1
"turkey, restaurants, 1994",3
"ukraine, arts and crafts, 2005",1
"latvia, gambling & casinos, 2017",1
"croatia, legal services, 2009",1
"russia, biotechnology, 2006",1
"denmark, program development, 2010",2
"finland, medical devices, 1973",1
"qatar, design, 2004",1
"el salvador, information technology and services, 2006",3
"vietnam, commercial real estate, 2014",1
"taiwan, chemicals, 1959",1
"austria, furniture, 1964",1
"qatar, publishing, 1994",1
"azerbaijan, retail, 2000",1
"germany, wholesale, 1997",3
"austria, philanthropy, 2017",1
"india, banking, 1976",2
"kenya, non-profit organization management, 2002",5
"united kingdom, higher education, 1877",1
"austria, law practice, 1890",1
"norway, music, 2003",1
"finland, mental health care, 2016",2
"south africa, logistics and supply chain, 1995",2
"australia, gambling & casinos, 2008",1
"netherlands, textiles, 1980",4
"sweden, capital markets, 1993",1
"united kingdom, banking, 1923",1
"switzerland, cosmetics, 2016",4
"netherlands, food production, 1975",1
"mexico, pharmaceuticals, 1977",1
"italy, government administration, 1911",1
"ukraine, maritime, 2014",3
"ireland, investment management, 1969",1
"poland, security and investigations, 2016",4
"bulgaria, staffing and recruiting, 2003",1
"france, paper & forest products, 1873",1
"hong kong, retail, 1986",1
"netherlands, transportation/trucking/railroad, 1892",2
"sweden, paper & forest products, 1925",1
"latvia, paper & forest products, 1995",2
"united kingdom, marketing and advertising, 1964",3
"zambia, hospitality, 2018",1
"finland, facilities services, 1993",1
"portugal, paper & forest products, 1992",2
"indonesia, food & beverages, 1980",1
"italy, animation, 2003",2
"finland, import and export, 2002",2
"maldives, investment management, 2016",1
"netherlands, architecture & planning, 1971",3
"germany, events services, 1985",1
"canada, newspapers, 1880",1
"romania, business supplies and equipment, 1994",3
"germany, religious institutions, 1962",1
"germany, non-profit organization management, 1962",2
"denmark, luxury goods & jewelry, 2013",2
"italy, outsourcing/offshoring, 1991",1
"poland, medical practice, 2007",2
"egypt, business supplies and equipment, 2010",3
"norway, food & beverages, 1985",2
"bulgaria, packaging and containers, 2006",1
"puerto rico, renewables & environment, 2011",1
"ukraine, hospitality, 2017",1
"thailand, leisure, travel & tourism, 2014",4
"thailand, construction, 1992",1
"germany, paper & forest products, 1953",1
"belgium, publishing, 1978",1
"united kingdom, retail, 1853",2
"brazil, fine art, 2008",3
"indonesia, broadcast media, 2006",2
"pakistan, plastics, 2004",2
"malaysia, animation, 1999",1
"colombia, wireless, 2014",2
"jamaica, non-profit organization management, 2008",1
"germany, chemicals, 1945",1
"canada, mechanical or industrial engineering, 1946",1
"new zealand, furniture, 2011",2
"china, pharmaceuticals, 2015",1
"morocco, information services, 2009",2
"serbia, construction, 1975",1
"belgium, consumer goods, 1829",1
"argentina, wireless, 2004",1
"singapore, staffing and recruiting, 1997",2
"belarus, electrical/electronic manufacturing, 1994",1
"brazil, mining & metals, 1988",3
"denmark, mechanical or industrial engineering, 1930",1
"belgium, individual & family services, 1978",1
"switzerland, civic & social organization, 1950",1
"lebanon, banking, 1959",1
"ghana, food & beverages, 2011",1
"romania, non-profit organization management, 1994",3
"finland, events services, 1980",1
"guadeloupe, logistics and supply chain, 1993",1
"india, public policy, 2017",3
"germany, consumer services, 2000",2
"new zealand, sports, 1891",1
"lebanon, government relations, 2012",1
"argentina, entertainment, 1992",2
"italy, computer hardware, 1991",3
"united kingdom, online media, 1991",4
"costa rica, transportation/trucking/railroad, 1958",1
"norway, museums and institutions, 1914",1
"turkey, mining & metals, 1969",1
"united states, alternative dispute resolution, 1981",4
"indonesia, fund-raising, 2014",2
"turkey, staffing and recruiting, 2006",1
"armenia, investment management, 2013",1
"united states, wholesale, 1860",3
"bangladesh, nanotechnology, 2011",1
"pakistan, market research, 2011",2
"mexico, broadcast media, 1992",2
"turkey, textiles, 1972",3
"new zealand, executive office, 2008",2
"portugal, photography, 2008",3
"finland, health, wellness and fitness, 1971",1
"portugal, automotive, 2004",4
"sweden, photography, 1963",1
"sri lanka, information services, 2014",1
"united states, religious institutions, 1862",6
"malaysia, wholesale, 1989",1
"angola, marketing and advertising, 2005",2
"malta, entertainment, 2012",1
"uganda, leisure, travel & tourism, 2005",3
"canada, insurance, 1905",1
"lebanon, non-profit organization management, 2009",2
"nigeria, public relations and communications, 1995",2
"belgium, business supplies and equipment, 2000",1
"norway, medical practice, 1978",1
"united states, leisure, travel & tourism, 1843",1
"united states, renewables & environment, 1926",1
"georgia, food & beverages, 2003",1
"vietnam, transportation/trucking/railroad, 2013",1
"turkey, banking, 1990",1
"spain, architecture & planning, 1940",3
"mexico, writing and editing, 1991",1
"panama, glass, ceramics & concrete, 2015",1
"costa rica, government administration, 1949",1
"switzerland, civic & social organization, 1924",1
"israel, consumer services, 2016",2
"estonia, design, 2010",4
"iran, glass, ceramics & concrete, 1973",1
"austria, industrial automation, 2003",2
"panama, retail, 2010",1
"united states, mental health care, 1865",2
"netherlands, renewables & environment, 1997",4
"czechia, non-profit organization management, 1973",1
"tajikistan, computer & network security, 2005",1
"kenya, environmental services, 2014",1
"france, hospitality, 1907",1
"ireland, non-profit organization management, 1908",1
"australia, chemicals, 1947",1
"italy, events services, 1970",1
"canada, hospital & health care, 1866",1
"brazil, logistics and supply chain, 1984",6
"thailand, financial services, 1944",1
"sweden, apparel & fashion, 1996",2
"venezuela, hospital & health care, 1976",1
"british virgin islands, retail, 1982",1
"united kingdom, capital markets, 1998",2
"india, utilities, 1999",2
"vietnam, architecture & planning, 2010",3
"netherlands, renewables & environment, 1931",1
"belgium, import and export, 2000",3
"germany, sports, 1979",1
"switzerland, wholesale, 1991",2
"serbia, civil engineering, 2007",2
"croatia, facilities services, 2013",2
"brazil, veterinary, 1999",2
"ghana, logistics and supply chain, 2000",1
"vietnam, environmental services, 2008",2
"japan, animation, 2007",1
"italy, security and investigations, 1943",1
"turkey, education management, 1961",1
"portugal, security and investigations, 1987",1
"france, renewables & environment, 1962",1
"canada, law practice, 1918",1
"vietnam, consumer goods, 2012",1
"india, transportation/trucking/railroad, 1982",1
"monaco, wholesale, 2010",1
"united states, newspapers, 1899",2
"netherlands, arts and crafts, 1971",3
"spain, warehousing, 1990",1
"myanmar, wine and spirits, 2015",1
"nicaragua, information technology and services, 2004",2
"croatia, legal services, 1928",1
"finland, civic & social organization, 1923",1
"belarus, logistics and supply chain, 2008",1
"el salvador, farming, 1960",2
"hungary, farming, 1989",1
"uruguay, higher education, 1994",1
"belgium, market research, 2002",1
"australia, law practice, 1833",1
"belgium, sports, 1898",1
"brazil, gambling & casinos, 2011",1
"india, arts and crafts, 1969",1
"slovakia, music, 2007",1
"philippines, information technology and services, 1977",1
"puerto rico, wholesale, 1974",1
"denmark, sporting goods, 1995",2
"gibraltar, international trade and development, 2014",1
"peru, business supplies and equipment, 2016",1
"canada, restaurants, 1995",9
"cyprus, real estate, 1983",3
"united states, semiconductors, 1961",5
"sweden, international trade and development, 1968",1
"india, motion pictures and film, 1995",2
"iran, leisure, travel & tourism, 1998",2
"chile, wholesale, 1950",1
"uzbekistan, leisure, travel & tourism, 2007",1
"czechia, executive office, 2012",2
"spain, environmental services, 1955",1
"australia, investment management, 1966",1
"india, consumer goods, 1975",2
"jordan, public relations and communications, 2011",1
"kenya, human resources, 1996",1
"belgium, insurance, 1950",3
"canada, international affairs, 2008",3
"canada, telecommunications, 1911",2
"saudi arabia, pharmaceuticals, 1998",1
"united kingdom, veterinary, 1997",2
"czechia, mining & metals, 2011",1
"venezuela, consumer goods, 2012",1
"brazil, banking, 2012",1
"peru, primary/secondary education, 2010",1
"guatemala, construction, 2017",2
"morocco, information technology and services, 1983",2
"netherlands, commercial real estate, 1977",1
"sweden, architecture & planning, 1982",3
"india, construction, 1963",2
"togo, telecommunications, 2009",1
"germany, insurance, 1874",1
"norway, renewables & environment, 1896",1
"norway, defense & space, 2007",1
"el salvador, primary/secondary education, 1970",1
"belgium, consumer electronics, 1996",1
"australia, individual & family services, 1998",5
"argentina, consumer goods, 1932",1
"india, dairy, 2002",1
"india, logistics and supply chain, 1927",1
"austria, sporting goods, 1998",1
"italy, education management, 1922",1
"luxembourg, food & beverages, 2005",1
"guatemala, e-learning, 2016",1
"austria, industrial automation, 2014",3
"united kingdom, international affairs, 1990",4
"norway, medical devices, 1993",1
"france, plastics, 1908",1
"germany, nanotechnology, 2006",3
"peru, architecture & planning, 1981",1
"sweden, computer software, 1974",2
"guernsey, insurance, 2017",1
"denmark, wholesale, 2011",7
"costa rica, non-profit organization management, 2017",1
"sweden, chemicals, 2006",3
"belgium, architecture & planning, 1980",5
"bahrain, financial services, 1987",1
"denmark, computer software, 1963",1
"lebanon, transportation/trucking/railroad, 1978",1
"saint vincent and the grenadines, financial services, 2014",3
"egypt, import and export, 1991",1
"uruguay, sports, 1900",1
"russia, utilities, 2013",1
"croatia, civil engineering, 2011",2
"poland, transportation/trucking/railroad, 2005",5
"peru, legal services, 1993",4
"switzerland, packaging and containers, 2012",2
"estonia, staffing and recruiting, 2014",3
"netherlands, alternative medicine, 2012",3
"puerto rico, insurance, 2012",1
"colombia, chemicals, 2005",2
"russia, motion pictures and film, 2010",6
"australia, performing arts, 1968",1
"latvia, medical devices, 2016",1
"sri lanka, hospital & health care, 1980",1
"united kingdom, aviation & aerospace, 1931",1
"sweden, animation, 2013",3
"romania, packaging and containers, 2010",1
"bangladesh, building materials, 1979",1
"spain, apparel & fashion, 1973",8
"russia, higher education, 1977",1
"macedonia, civic & social organization, 1999",1
"nigeria, public relations and communications, 1992",2
"mexico, mechanical or industrial engineering, 1946",1
"denmark, mechanical or industrial engineering, 1901",1
"italy, hospitality, 1969",3
"hungary, research, 2012",4
"germany, media production, 1965",1
"united states, nonprofit organization management, 1930",1
"indonesia, computer software, 2002",3
"france, textiles, 1936",1
"zimbabwe, mining & metals, 2003",1
"united kingdom, sporting goods, 1908",1
"ukraine, media production, 2005",1
"south korea, investment banking, 2005",1
"mexico, farming, 1955",1
"tunisia, machinery, 1984",1
"nepal, information technology and services, 2009",15
"united states, higher education, 1826",5
"canada, capital markets, 1981",1
"netherlands, real estate, 1971",2
"lithuania, real estate, 2003",2
"kuwait, health, wellness and fitness, 2015",2
"estonia, leisure, travel & tourism, 2003",1
"italy, oil & energy, 1884",1
"nigeria, import and export, 2010",1
"rwanda, banking, 1966",1
"norway, newspapers, 2011",1
"pakistan, civic & social organization, 2010",3
"canada, government administration, 1976",1
"mauritius, leisure, travel & tourism, 2006",2
"belgium, automotive, 1958",2
"finland, mechanical or industrial engineering, 1969",1
"côte d’ivoire, financial services, 1997",1
"poland, packaging and containers, 1985",2
"india, plastics, 1955",1
"maldives, leisure, travel & tourism, 2005",2
"united kingdom, leisure, travel & tourism, 1801",1
"iran, mining & metals, 2014",2
"india, food production, 1997",2
"united states, information technology and services, 1960",7
"turkey, publishing, 1911",1
"slovenia, mechanical or industrial engineering, 1989",2
"italy, printing, 1900",1
"united kingdom, machinery, 1943",2
"costa rica, wine and spirits, 1969",1
"united states, arts and crafts, 1961",3
"mozambique, transportation/trucking/railroad, 2011",1
"libya, oil & energy, 1970",1
"jordan, internet, 2008",3
"zimbabwe, mechanical or industrial engineering, 1968",2
"venezuela, construction, 1978",1
"panama, fine art, 2010",1
"thailand, retail, 2010",2
"united kingdom, internet, 1987",3
"indonesia, information services, 2009",2
"italy, retail, 1970",3
"finland, mining & metals, 1996",1
"switzerland, utilities, 1997",2
"netherlands, wholesale, 1923",2
"new zealand, public relations and communications, 1999",1
"tunisia, insurance, 2009",1
"france, machinery, 1943",1
"slovakia, wholesale, 1989",1
"united arab emirates, logistics and supply chain, 1957",1
"finland, renewables & environment, 2015",4
"bolivia, marketing and advertising, 2007",1
"paraguay, law practice, 1996",1
"south africa, packaging and containers, 2009",1
"canada, import and export, 1917",1
"sweden, translation and localization, 1994",1
"italy, sporting goods, 1981",1
"ireland, chemicals, 1982",1
"south africa, international trade and development, 1979",1
"ghana, food production, 2015",1
"monaco, staffing and recruiting, 1980",1
"isle of man, professional training & coaching, 2010",1
"italy, apparel & fashion, 1905",2
"netherlands, maritime, 1948",1
"slovenia, computer software, 2005",6
"mexico, industrial automation, 1955",1
"portugal, market research, 2003",2
"china, consumer electronics, 2002",18
"tanzania, farming, 2005",1
"portugal, furniture, 1959",1
"united arab emirates, international affairs, 1982",1
"georgia, wholesale, 2017",1
"tunisia, oil & energy, 1948",1
"paraguay, judiciary, 2007",1
"peru, individual & family services, 1994",1
"ecuador, environmental services, 1993",2
"belgium, food production, 2002",2
"ghana, automotive, 2014",1
"germany, executive office, 2012",3
"malaysia, market research, 2010",1
"mexico, facilities services, 1997",2
"new zealand, government administration, 2010",4
"united kingdom, veterinary, 1995",4
"brazil, broadcast media, 2011",6
"germany, glass, ceramics & concrete, 1959",1
"brazil, consumer services, 1960",1
"philippines, staffing and recruiting, 2017",3
"taiwan, online media, 2013",1
"venezuela, chemicals, 1995",2
"belgium, public relations and communications, 2013",6
"monaco, telecommunications, 1997",1
"latvia, education management, 1862",1
"belgium, professional training & coaching, 1949",1
"peru, furniture, 1955",1
"mozambique, international trade and development, 2015",1
"sweden, electrical/electronic manufacturing, 2000",8
"peru, executive office, 1984",1
"netherlands, research, 1935",1
"united states, events services, 1952",2
"serbia, veterinary, 2007",1
"united states, think tanks, 1979",2
"tunisia, telecommunications, 2007",2
"oman, mechanical or industrial engineering, 1982",1
"greece, wine and spirits, 1937",1
"brazil, airlines/aviation, 2008",3
"guatemala, civic & social organization, 2005",1
"south korea, think tanks, 2016",1
"costa rica, architecture & planning, 2017",1
"taiwan, textiles, 1969",1
"norway, automotive, 1946",2
"bulgaria, textiles, 1991",2
"cook islands, telecommunications, 2015",1
"lebanon, consumer goods, 1897",1
"united states, information technology and services, 1821",1
"belgium, museums and institutions, 1969",1
"canada, textiles, 2007",3
"malaysia, graphic design, 2001",1
"germany, industrial automation, 1922",1
"israel, computer hardware, 2005",1
"turkey, government administration, 1920",1
"malaysia, translation and localization, 2015",2
"denmark, graphic design, 2000",4
"macedonia, management consulting, 1993",1
"united kingdom, fund-raising, 1948",1
"hong kong, hospitality, 2001",1
"france, international trade and development, 1918",1
"canada, capital markets, 1960",1
"iran, food & beverages, 1933",1
"bulgaria, printing, 2006",1
"bulgaria, investment management, 2011",1
"india, government administration, 2008",1
"hungary, hospital & health care, 1993",1
"colombia, building materials, 2011",1
"thailand, furniture, 1993",1
"ecuador, health, wellness and fitness, 2003",1
"san marino, machinery, 1994",1
"canada, public relations and communications, 1979",2
"australia, sports, 1961",1
"iran, chemicals, 1972",1
"hong kong, sports, 2013",6
"ecuador, wholesale, 1984",1
"egypt, government relations, 2014",1
"india, restaurants, 1982",1
"sri lanka, textiles, 1994",2
"kenya, consumer goods, 1993",1
"netherlands, accounting, 1955",3
"japan, security and investigations, 2011",1
"netherlands, international affairs, 1952",1
"luxembourg, sports, 2015",3
"south africa, retail, 1973",1
"iran, retail, 2016",6
"finland, facilities services, 2014",4
"portugal, public safety, 2009",1
"indonesia, textiles, 2013",2
"sri lanka, packaging and containers, 1978",1
"ireland, photography, 1976",1
"mexico, human resources, 1985",6
"united states, restaurants, 1890",1
"kuwait, paper & forest products, 1993",1
"guatemala, human resources, 2012",5
"turkey, fishery, 1996",1
"belgium, automotive, 1953",1
"croatia, accounting, 2010",2
"australia, individual & family services, 1989",3
"belgium, transportation/trucking/railroad, 2016",7
"panama, publishing, 2008",1
"united kingdom, retail, 1867",3
"spain, non-profit organization management, 1993",12
"kazakhstan, management consulting, 2012",2
"united kingdom, glass, ceramics & concrete, 1836",1
"new zealand, law practice, 1862",1
"austria, consumer electronics, 1980",1
"madagascar, professional training & coaching, 2011",1
"israel, health, wellness and fitness, 2005",2
"spain, law enforcement, 2004",2
"united states, environmental services, 1889",1
"australia, sports, 1909",1
"south africa, venture capital & private equity, 2014",5
"switzerland, non-profit organization management, 1946",1
"vietnam, computer games, 2015",1
"vietnam, broadcast media, 2016",2
"poland, insurance, 2013",2
"turkey, glass, ceramics & concrete, 1989",2
"monaco, fine art, 1989",1
"angola, government administration, 1991",1
"austria, environmental services, 1994",2
"spain, logistics and supply chain, 1972",1
"united arab emirates, food production, 1990",1
"burkina faso, information technology and services, 2014",1
"india, investment banking, 1985",3
"china, public policy, 2010",1
"china, staffing and recruiting, 2000",7
"united states, food & beverages, 1878",2
"france, consumer goods, 1976",2
"jersey, law practice, 2014",1
"philippines, insurance, 1971",1
"qatar, primary/secondary education, 2008",1
"ecuador, medical practice, 2008",1
"new zealand, computer hardware, 2003",1
"france, import and export, 1948",1
"south africa, health, wellness and fitness, 2001",2
"new zealand, wireless, 2014",1
"armenia, building materials, 1996",1
"tunisia, electrical/electronic manufacturing, 1967",1
"france, import and export, 1988",2
"uganda, online media, 2014",1
"hungary, hospital & health care, 2014",1
"guatemala, education management, 2002",1
"switzerland, investment management, 1984",2
"poland, paper & forest products, 1994",2
"saudi arabia, veterinary, 2003",1
"lithuania, events services, 2002",1
"peru, consumer services, 1991",1
"cambodia, cosmetics, 2010",1
"portugal, airlines/aviation, 1944",1
"australia, real estate, 1875",1
"spain, paper & forest products, 1965",1
"mongolia, non-profit organization management, 1998",1
"qatar, photography, 1979",1
"saudi arabia, consumer electronics, 1986",1
"united states, civic & social organization, 1809",2
"puerto rico, media production, 2004",1
"romania, medical devices, 1991",1
"new zealand, insurance, 2005",3
"portugal, glass, ceramics & concrete, 2015",2
